,Open Bid_x,Open Bid_y,Long Swap USDCZK,Short Swap USDCZK,open_1
2005-01-03,2.16,1.52,-2.9887482419127964e-06,1.1748909029875824e-06,6.1175
2005-01-04,2.27,1.6,-1.95378865103636e-06,4.14593698175789e-07,6.1075
2005-01-05,2.25,1.71,-6.410256410256406e-06,3.5353535353535395e-06,6.2406
2005-01-06,2.23,1.64,-2.321981424148609e-06,9.175842509175852e-07,6.2318
2005-01-07,2.23,1.63,-2.321981424148609e-06,9.175842509175852e-07,6.2615
2005-01-08,2.26,1.74,-2.0449897750511254e-06,8.316699933466435e-07,6.2615
2005-01-09,2.26,1.69,-2.0449897750511254e-06,8.316699933466435e-07,6.2615
2005-01-10,2.23,1.64,-2.493980048159613e-06,1.0101010101010103e-06,6.2714
2005-01-11,2.26,1.69,-2.0449897750511254e-06,9.175842509175852e-07,6.2603
2005-01-12,2.27,1.67,-5.86136595310908e-06,3.787878787878804e-06,6.2486
2005-01-13,2.27,1.61,-2.0387359836901123e-06,4.975124378109443e-07,6.1797
2005-01-14,2.24,1.61,-2.3148148148148127e-06,6.673340006673374e-07,6.2366
2005-01-15,2.25,1.65,-2.222222222222218e-06,9.259259259259288e-07,6.2366
2005-01-16,2.25,1.65,-2.222222222222218e-06,1.0131712259371865e-06,6.2366
2005-01-17,2.25,1.61,-2.307692307692307e-06,6.653359946773111e-07,6.2449
2005-01-18,2.25,1.67,-2.307692307692307e-06,8.366800535475215e-07,6.2851
2005-01-19,2.27,1.6,-6.371049949031592e-06,1.7412935323382986e-06,6.2643
2005-01-20,2.26,1.6,-2.0449897750511254e-06,4.990019960079849e-07,6.2815
2005-01-21,2.27,1.58,-2.123683316343864e-06,9.231285666331e-07,6.3258
2005-01-22,2.27,1.65,-2.123683316343864e-06,8.366800535475215e-07,6.3258
2005-01-23,2.27,1.65,-1.95378865103636e-06,6.693440428380209e-07,6.3258
2005-01-24,2.3,1.58,-1.683501683501682e-06,1.6436554898093446e-07,6.2873
2005-01-25,2.3,1.67,-1.8518518518518517e-06,7.507507507507493e-07,6.3009
2005-01-26,2.28,1.7,-6.0975609756097615e-06,1.236399604352123e-06,6.3283
2005-01-27,2.4,1.7,-8.169934640522909e-07,-3.229974160206725e-07,6.3088
2005-01-28,2.47,1.56,1.3608709574127464e-06,-2.582159624413142e-06,6.3285
2005-01-29,2.49,1.61,1.7510347023241031e-06,-3.267973856209151e-06,6.3285
2005-01-30,2.45,1.61,1.4492753623188414e-06,-3.1298904538341143e-06,6.3285
2005-01-31,2.46,1.61,1.605651894669238e-06,-2.808988764044941e-06,6.3367
2005-02-01,2.51,1.67,1.6619183285849956e-06,-2.667922159447584e-06,6.3542
2005-02-02,2.46,1.57,4.335260115606939e-06,-8.426966292134824e-06,6.3256
2005-02-03,2.46,1.58,1.5253692999357723e-06,-3.043071161048689e-06,6.3374
2005-02-04,2.51,1.6,1.8993352326685653e-06,-2.9033270558694283e-06,6.3899
2005-02-05,2.49,1.6,1.7510347023241031e-06,-2.761994949494951e-06,6.3899
2005-02-06,2.48,1.6,1.676245210727968e-06,-3.1812538795779022e-06,6.3899
2005-02-07,2.52,1.65,1.7361111111111112e-06,-2.667922159447584e-06,6.4584
2005-02-08,2.52,1.61,1.972853535353536e-06,-3.3179012345679018e-06,6.5476
2005-02-09,2.46,1.61,4.576107899807317e-06,-8.426966292134824e-06,6.5673
2005-02-10,2.46,1.62,1.3648041104688504e-06,-2.8870162297128582e-06,6.5407
2005-02-11,2.51,1.63,1.6619183285849956e-06,-3.017641597028781e-06,6.5433
2005-02-12,2.52,1.68,1.7361111111111112e-06,-2.738654147104848e-06,6.5433
2005-02-13,2.47,1.68,1.3608709574127464e-06,-2.8789293495175834e-06,6.5433
2005-02-14,2.46,1.63,1.605651894669238e-06,-3.1210986267166025e-06,6.5261
2005-02-15,2.46,1.6,1.6859344894026976e-06,-2.9650436953807724e-06,6.4789
2005-02-16,2.51,1.64,5.698005698005696e-06,-8.709981167608285e-06,6.4243
2005-02-17,2.52,1.55,1.8939393939393956e-06,-2.895148669796553e-06,6.4047
2005-02-18,2.48,1.63,1.7560664112388271e-06,-3.3271432992881453e-06,6.3608
2005-02-19,2.51,1.62,1.8993352326685653e-06,-3.4045187248529875e-06,6.3608
2005-02-20,2.51,1.62,1.8993352326685653e-06,-3.1991260923845197e-06,6.3608
