,open_2,low_2,high_2,close_2,volume_2
2005-01-03,22.3859,22.3815,22.6007,22.5405,49880.0
2005-01-04,22.5405,22.5246,22.9877,22.9404,63844.0
2005-01-05,22.9404,22.8251,23.0171,22.9042,60368.0
2005-01-06,22.9042,22.8824,23.1136,22.9817,57965.0
2005-01-07,22.9817,22.8348,23.3104,23.2072,56874.0
2005-01-08,22.9817,22.8348,23.3104,23.2072,56874.0
2005-01-09,22.9817,22.8348,23.3104,23.2072,56874.0
2005-01-10,23.2072,23.0185,23.235,23.0267,53546.0
2005-01-11,23.0267,22.9492,23.1216,23.0924,53365.0
2005-01-12,23.0924,22.8255,23.2714,22.885,54654.0
2005-01-13,22.8835,22.873,23.209,23.1842,59532.0
2005-01-14,23.1842,23.116,23.3054,23.1717,62076.0
2005-01-15,23.1842,23.116,23.3054,23.1717,62076.0
2005-01-16,23.1842,23.116,23.3054,23.1717,62076.0
2005-01-17,23.1717,23.1261,23.3077,23.2599,39963.0
2005-01-18,23.2591,23.2227,23.3715,23.311,51947.0
2005-01-19,23.311,23.0681,23.3509,23.2628,55575.0
2005-01-20,23.2628,23.2351,23.4814,23.3966,54615.0
2005-01-21,23.3966,23.1643,23.4396,23.1979,50820.0
2005-01-22,23.3966,23.1643,23.4396,23.1979,50820.0
2005-01-23,23.3966,23.1643,23.4396,23.1979,50820.0
2005-01-24,23.1979,22.9537,23.2068,23.1381,50355.0
2005-01-25,23.1381,22.989,23.2292,23.1634,53636.0
2005-01-26,23.1634,22.9193,23.192,22.9755,49413.0
2005-01-27,22.9755,22.8878,23.2117,23.1558,52155.0
2005-01-28,23.1558,23.0763,23.2502,23.1501,45762.0
2005-01-29,23.1558,23.0763,23.2502,23.1501,45762.0
2005-01-30,23.1558,23.0763,23.2502,23.1501,45762.0
2005-01-31,23.1501,23.0118,23.2649,23.0407,48132.0
2005-02-01,23.0407,22.9272,23.1156,22.9447,48897.0
2005-02-02,22.9447,22.9184,23.0591,23.0502,48656.0
2005-02-03,23.0502,22.9864,23.2065,23.1262,42014.0
2005-02-04,23.1262,22.9318,23.5108,23.3125,48004.0
2005-02-05,23.1262,22.9318,23.5108,23.3125,48004.0
2005-02-06,23.1262,22.9318,23.5108,23.3125,48004.0
2005-02-07,23.3125,23.2158,23.4215,23.3711,47467.0
2005-02-08,23.3711,23.3528,23.5444,23.5023,43304.0
2005-02-09,23.5023,23.2978,23.5147,23.3141,47555.0
2005-02-10,23.3141,23.2442,23.5364,23.2883,45548.0
2005-02-11,23.2883,23.1966,23.4253,23.2309,40298.0
2005-02-12,23.2883,23.1966,23.4253,23.2309,40298.0
2005-02-13,23.2883,23.1966,23.4253,23.2309,40298.0
2005-02-14,23.2327,23.1425,23.2695,23.1838,40086.0
2005-02-15,23.1838,23.0482,23.2343,23.0933,47862.0
2005-02-16,23.0933,23.0008,23.2029,23.0553,49134.0
2005-02-17,23.0553,22.8863,23.0765,22.9213,46550.0
2005-02-18,22.9213,22.7802,22.9751,22.8311,38512.0
2005-02-19,22.9213,22.7802,22.9751,22.8311,38512.0
2005-02-20,22.9213,22.7802,22.9751,22.8311,38512.0
2005-02-21,22.8311,22.704,22.9366,22.7248,28188.0
2005-02-22,22.7248,22.4976,22.7282,22.5538,51429.0
2005-02-23,22.5538,22.5452,22.6978,22.5849,47517.0
2005-02-24,22.5866,22.4826,22.6425,22.5976,49206.0
2005-02-25,22.5976,22.3493,22.6798,22.3898,47880.0
2005-02-26,22.5976,22.3493,22.6798,22.3898,47880.0
2005-02-27,22.5976,22.3493,22.6798,22.3898,47880.0
