,Open Bid_x,Open Bid_y,Long Swap USDHUF,Short Swap USDHUF,open_1
2005-01-03,2.16,1.52,-6.7598452883263e-05,5.916414904330312e-05,6.1175
2005-01-04,2.27,1.6,-6.362555215766225e-05,5.762852404643449e-05,6.1075
2005-01-05,2.25,1.71,-0.0001946153846153,0.0001747474747474,6.2406
2005-01-06,2.23,1.64,-5.839353285173718e-05,5.2635969302635965e-05,6.2318
2005-01-07,2.23,1.63,-7.447540419676644e-05,6.781781781781783e-05,6.2615
2005-01-08,2.26,1.74,-6.228698023176551e-05,5.75515635395875e-05,6.2615
2005-01-09,2.26,1.69,-6.228698023176551e-05,5.75515635395875e-05,6.2615
2005-01-10,2.23,1.64,-6.596147230822155e-05,5.9764309764309776e-05,6.2714
2005-01-11,2.26,1.69,-6.322426721199727e-05,5.897564230897565e-05,6.2603
2005-01-12,2.27,1.67,-0.0001888379204892,0.0001810606060606,6.2486
2005-01-13,2.27,1.61,-6.294597349643222e-05,5.845771144278607e-05,6.1797
2005-01-14,2.24,1.61,-6.310013717421124e-05,5.797464130797464e-05,6.2366
2005-01-15,2.25,1.65,-6.367521367521366e-05,5.8080808080808085e-05,6.2366
2005-01-16,2.25,1.65,-6.367521367521366e-05,5.83417764268828e-05,6.2366
2005-01-17,2.25,1.61,-6.47008547008547e-05,5.87159015302728e-05,6.2449
2005-01-18,2.25,1.67,-6.384615384615386e-05,5.89859437751004e-05,6.2851
2005-01-19,2.27,1.6,-0.0001888379204892,0.000176119402985,6.2643
2005-01-20,2.26,1.6,-5.99011588275392e-05,5.671989354624085e-05,6.2815
2005-01-21,2.27,1.58,-5.929323819232076e-05,5.706612957368244e-05,6.3258
2005-01-22,2.27,1.65,-5.886850152905199e-05,5.538821954484605e-05,6.3258
2005-01-23,2.27,1.65,-5.886850152905199e-05,5.538821954484605e-05,6.3258
2005-01-24,2.3,1.58,-5.8080808080808085e-05,5.1939513477975016e-05,6.2873
2005-01-25,2.3,1.67,-5.858585858585859e-05,5.547213880547215e-05,6.3009
2005-01-26,2.28,1.7,-0.0001801321138211,0.0001619683481701,6.3283
2005-01-27,2.4,1.7,-5.694444444444444e-05,5.313307493540052e-05,6.3088
2005-01-28,2.47,1.56,-5.37143772014089e-05,5.093896713615024e-05,6.3285
2005-01-29,2.49,1.61,-5.4520853231454944e-05,4.878618113912232e-05,6.3285
2005-01-30,2.45,1.61,-5.547504025764895e-05,4.921752738654148e-05,6.3285
2005-01-31,2.46,1.61,-5.403018625561978e-05,4.9625468164794014e-05,6.3367
2005-02-01,2.51,1.67,-5.262741373852485e-05,5.014124293785311e-05,6.3542
2005-02-02,2.46,1.57,-0.0001606454720616,0.0001420880149812,6.3256
2005-02-03,2.46,1.58,-5.499357739242132e-05,5.017166042446941e-05,6.3374
2005-02-04,2.51,1.6,-5.2231718898385566e-05,5.14752040175769e-05,6.3899
2005-02-05,2.49,1.6,-5.388411333970073e-05,4.924242424242424e-05,6.3899
2005-02-06,2.48,1.6,-5.4118773946360144e-05,4.7951582867783975e-05,6.3899
2005-02-07,2.52,1.65,-5.153093434343435e-05,5.029817953546767e-05,6.4584
2005-02-08,2.52,1.61,-5.263573232323232e-05,4.907407407407408e-05,6.5476
2005-02-09,2.46,1.61,-0.000159922928709,0.0001474719101123,6.5673
2005-02-10,2.46,1.62,-4.60019267822736e-05,4.3929463171036205e-05,6.5407
2005-02-11,2.51,1.63,-6.014561570117126e-05,5.671618693902817e-05,6.5433
2005-02-12,2.52,1.68,-5.129419191919192e-05,4.929577464788732e-05,6.5433
2005-02-13,2.47,1.68,-5.243355747678513e-05,4.886399004046063e-05,6.5433
2005-02-14,2.46,1.63,-5.330764290301861e-05,4.837702871410736e-05,6.5261
2005-02-15,2.46,1.6,-5.386962106615285e-05,4.884519350811485e-05,6.4789
2005-02-16,2.51,1.64,-0.0001557454890788,0.0001487758945386,6.4243
2005-02-17,2.52,1.55,-5.058396464646464e-05,4.992175273865416e-05,6.4047
2005-02-18,2.48,1.63,-5.012771392081737e-05,4.4877746827607566e-05,6.3608
2005-02-19,2.51,1.62,-4.938271604938273e-05,4.379449086969979e-05,6.3608
2005-02-20,2.51,1.62,-4.938271604938273e-05,4.439762796504368e-05,6.3608
2005-02-21,2.47,1.55,-5.0272174191482537e-05,4.4195455960161845e-05,6.3445
2005-02-22,2.49,1.63,-5.08595988538682e-05,4.340761374187558e-05,6.286
2005-02-23,2.51,1.67,-0.0001436372269705,0.0001274373259052,6.2406
2005-02-24,2.48,1.68,-4.8451468710089405e-05,4.244258224705153e-05,6.225
2005-02-25,2.52,1.69,-4.8374368686868695e-05,4.282407407407407e-05,6.2386
2005-02-26,2.5,1.58,-4.722222222222221e-05,4.225352112676056e-05,6.2386
2005-02-27,2.5,1.66,-4.722222222222221e-05,4.245134965473948e-05,6.2386
2005-02-28,2.49,1.57,-4.94269340974212e-05,4.510987310430207e-05,6.2186
2005-03-01,2.51,1.57,-4.6533713200379874e-05,4.2401733209532656e-05,6.2306
2005-03-02,2.47,1.64,-0.000145292987512,0.0001335200746965,6.222
2005-03-03,2.47,1.6,-4.811079090617995e-05,4.45066915655151e-05,6.2439
2005-03-04,2.52,1.58,-5.318813131313131e-05,4.9670433145009406e-05,6.2679
2005-03-05,2.52,1.57,-4.7190656565656566e-05,4.284369114877589e-05,6.2679
2005-03-06,2.48,1.57,-4.805236270753513e-05,4.20546244568591e-05,6.2679
2005-03-07,2.52,1.67,-4.78219696969697e-05,4.205680399500624e-05,6.2263
2005-03-08,2.47,1.67,-4.907140569964776e-05,4.20946156240274e-05,6.1956
2005-03-09,2.48,1.55,-0.0001420019157088,0.0001275605214152,6.1318
2005-03-10,2.53,1.68,-4.6584828454516834e-05,4.350547730829421e-05,6.1012
2005-03-11,2.5,1.67,-4.611111111111112e-05,4.236111111111111e-05,6.0853
2005-03-12,2.56,1.65,-4.634831460674157e-05,4.1666666666666665e-05,6.0853
2005-03-13,2.58,1.65,-4.5934202358783367e-05,4.1666666666666665e-05,6.0853
2005-03-14,2.59,1.68,-4.5728876508820806e-05,4.12829957028852e-05,6.0666
2005-03-15,2.63,1.7,-4.568411386593205e-05,4.052823315118397e-05,6.1112
2005-03-16,2.66,1.58,-0.0001306921675774,0.0001183510638297,6.1387
2005-03-17,2.73,1.66,-5.7119451891569865e-05,5.422576832151301e-05,6.0856
2005-03-18,2.7,1.62,-5.052552552552552e-05,4.488304093567251e-05,6.0864
2005-03-19,2.71,1.78,-4.267744833782569e-05,3.827646544181978e-05,6.0864
2005-03-20,2.73,1.73,-4.222520107238605e-05,3.728070175438597e-05,6.0864
2005-03-21,2.72,1.69,-4.226403823178016e-05,3.70127981384526e-05,6.1327
2005-03-22,2.77,1.65,-4.111405835543766e-05,3.715728715728716e-05,6.1997
2005-03-23,2.78,1.65,-0.0001168430335097,0.0001076115485564,6.246
2005-03-24,2.77,1.75,-3.978779840848807e-05,3.463203463203463e-05,6.3074
2005-03-25,2.74,1.73,-4.070112893642306e-05,3.660300925925926e-05,6.3346
2005-03-26,2.75,1.75,-4.185185185185186e-05,3.715728715728716e-05,6.3346
2005-03-27,2.75,1.75,-4.2592592592592586e-05,3.715728715728716e-05,6.3346
2005-03-28,2.74,1.73,-4.203802733214498e-05,3.732638888888889e-05,6.3519
2005-03-29,2.78,1.75,-4.129923574368019e-05,3.698906160046057e-05,6.3456
2005-03-30,2.72,1.68,-0.0001283602150537,0.0001162739965095,6.3352
2005-03-31,2.72,1.69,-4.08452807646356e-05,3.810354857475277e-05,6.3338
2005-04-01,2.78,1.68,-4.144620811287478e-05,3.4542314335060445e-05,6.3364
2005-04-02,2.76,1.83,-3.9893617021276594e-05,3.653067129629631e-05,6.3364
2005-04-03,2.76,1.83,-4.092789598108748e-05,3.587962962962964e-05,6.3364
2005-04-04,2.74,1.7,-3.995840760546642e-05,3.609664351851853e-05,6.3482
2005-04-05,2.77,1.76,-3.964043619216034e-05,3.4415584415584416e-05,6.3799
2005-04-06,2.76,1.71,-0.000117464539007,0.0001092931937172,6.3377
2005-04-07,2.69,1.7,-4.193014152363746e-05,3.796540603928465e-05,6.3399
2005-04-08,2.7,1.81,-4.204204204204204e-05,3.654970760233918e-05,6.3678
2005-04-09,2.76,1.76,-4.092789598108748e-05,3.587962962962964e-05,6.3678
2005-04-10,2.76,1.76,-4.0189125295508273e-05,3.587962962962964e-05,6.3678
2005-04-11,2.77,1.73,-4.148246389625701e-05,3.643578643578644e-05,6.3364
2005-04-12,2.74,1.73,-3.98098633392751e-05,3.443287037037037e-05,6.3143
2005-04-13,2.72,1.74,-0.0001182795698924,0.0001042757417102,6.3398
2005-04-14,2.73,1.69,-3.395889186773905e-05,3.0968958514650415e-05,6.3805
2005-04-15,2.8,1.79,-3.47953216374269e-05,3.343487090223383e-05,6.431
2005-04-16,2.77,1.73,-3.610374300029472e-05,3.051948051948051e-05,6.431
2005-04-17,2.77,1.73,-3.706159740642499e-05,3.2828282828282826e-05,6.431
2005-04-18,2.73,1.69,-3.6788799523383975e-05,3.06063243400058e-05,6.3793
2005-04-19,2.72,1.69,-3.800776583034646e-05,3.5122164048865624e-05,6.3086
2005-04-20,2.76,1.71,-0.0001134751773049,0.0001022135416666,6.2726
2005-04-21,2.8,1.83,-3.3625730994152054e-05,2.84900284900285e-05,6.2355
2005-04-22,2.84,1.8,-3.298611111111111e-05,2.9643985070341656e-05,6.2531
2005-04-23,2.86,1.76,-3.2671272308578016e-05,2.9056550156294406e-05,6.2531
2005-04-24,2.86,1.76,-3.2671272308578016e-05,2.920227920227921e-05,6.2531
2005-04-25,2.9,1.78,-3.205128205128206e-05,2.806050325134294e-05,6.2669
2005-04-26,2.9,1.81,-3.468660968660969e-05,3.111111111111112e-05,6.2563
2005-04-27,2.95,1.76,-9.746835443037974e-05,9.401172529313232e-05,6.2635
2005-04-28,2.99,1.73,-3.070175438596491e-05,2.7501381978993927e-05,6.2867
2005-04-29,3.01,1.68,-3.096425602660017e-05,2.853410341034104e-05,6.2993
2005-04-30,3.01,1.73,-3.096425602660017e-05,2.9840484048404832e-05,6.2993
2005-05-01,3.01,1.73,-3.096425602660017e-05,2.9840484048404832e-05,6.2993
2005-05-02,3.03,1.68,-3.094844223876483e-05,2.9693486590038304e-05,6.3219
2005-05-03,2.98,1.7,-3.259352317141262e-05,2.934368191721133e-05,6.3331
