,open_2,low_2,high_2,close_2,volume_2
2005-01-03,181.84,180.8,182.55,181.67,50140.0
2005-01-04,181.67,181.54,185.18,184.5,63895.0
2005-01-05,184.49,184.2,186.49,185.08,60890.0
2005-01-06,185.08,184.9,188.82,187.96,58350.0
2005-01-07,187.96,186.87,190.47,188.8,56941.0
2005-01-08,187.96,186.87,190.47,188.8,56941.0
2005-01-09,187.96,186.87,190.47,188.8,56941.0
2005-01-10,188.81,188.19,189.98,188.24,53772.0
2005-01-11,188.24,186.71,188.61,187.66,53485.0
2005-01-12,187.67,185.55,189.89,185.76,54875.0
2005-01-13,185.77,185.61,187.93,187.73,59293.0
2005-01-14,187.73,186.82,189.19,187.05,59664.0
2005-01-15,187.73,186.82,189.19,187.05,59664.0
2005-01-16,187.73,186.82,189.19,187.05,59664.0
2005-01-17,187.05,186.97,188.66,188.27,39480.0
2005-01-18,188.28,188.04,189.93,188.93,52182.0
2005-01-19,188.93,187.79,189.8,189.1,55506.0
2005-01-20,189.1,188.87,191.0,190.26,55022.0
2005-01-21,190.26,187.62,190.62,188.01,50790.0
2005-01-22,190.26,187.62,190.62,188.01,50790.0
2005-01-23,190.26,187.62,190.62,188.01,50790.0
2005-01-24,188.01,187.59,188.85,188.63,50554.0
2005-01-25,188.63,187.61,189.89,188.9,53677.0
2005-01-26,188.9,186.79,189.5,187.1,49501.0
2005-01-27,187.1,186.51,188.41,187.71,52031.0
2005-01-28,187.71,186.32,188.51,186.83,45876.0
2005-01-29,187.71,186.32,188.51,186.83,45876.0
2005-01-30,187.71,186.32,188.51,186.83,45876.0
2005-01-31,186.83,186.73,189.1,187.61,48258.0
2005-02-01,187.61,186.94,188.56,187.19,48826.0
2005-02-02,187.19,186.98,187.92,187.43,48815.0
2005-02-03,187.43,187.08,188.6,187.84,42441.0
2005-02-04,187.84,186.62,189.69,189.67,48180.0
2005-02-05,187.84,186.62,189.69,189.67,48180.0
2005-02-06,187.84,186.62,189.69,189.67,48180.0
2005-02-07,189.67,189.29,191.22,190.77,47590.0
2005-02-08,190.77,190.48,191.59,191.0,42959.0
2005-02-09,191.0,189.87,191.79,190.1,47636.0
2005-02-10,190.1,188.75,191.75,189.09,45411.0
2005-02-11,189.09,187.46,190.14,187.73,40457.0
